tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,151,104926,,,Fabio Fognini,R,178,ITA,29.65092402,48,945,103852,28,,Feliciano Lopez,L,188,ESP,35.32375086,29,1410,7-5 6-3 7-5,5,R128,123,5,3,81,43,38,23,17,0,2,13,8,133,71,48,24,16,22,28
2017-580,Australian Open,Hard,128,G,20170116,152,103333,20,,Ivo Karlovic,R,208,CRO,37.88364134,21,1795,104547,,,Horacio Zeballos,L,188,ARG,31.72347707,68,725,6-7(6) 3-6 7-5 6-2 22-20,5,R128,314,75,12,213,140,127,44,42,3,4,33,9,237,152,125,49,41,5,9
2017-580,Australian Open,Hard,128,G,20170116,153,106225,,,Andrew Whittington,R,,AUS,23.43326489,194,289,106361,,,Adam Pavlasek,R,,CZE,22.275154,86,649,6-4 4-6 6-2 6-3,5,R128,145,12,10,112,65,49,26,19,5,7,13,3,107,66,47,16,18,3,9
2017-580,Australian Open,Hard,128,G,20170116,154,103285,,,Radek Stepanek,R,185,CZE,38.13826146,102,595,104098,,,Dmitry Tursunov,R,185,RUS,34.0971937,405,105,6-2 7-6(1) 6-3,5,R128,119,15,4,99,64,51,21,15,4,4,5,5,87,58,39,13,14,5,8
2017-580,Australian Open,Hard,128,G,20170116,155,105676,11,,David Goffin,R,163,BEL,26.11088296,11,2750,124187,,,Reilly Opelka,U,,USA,19.38672142,208,267,6-4 4-6 6-2 4-6 6-4,5,R128,176,13,7,148,79,61,42,24,6,8,21,7,144,85,64,28,24,2,6
2017-580,Australian Open,Hard,128,G,20170116,156,105777,15,,Grigor Dimitrov,R,188,BUL,25.67282683,15,2135,106331,,,Christopher Oconnell,U,,AUS,22.62286105,231,228,7-6(2) 6-3 6-3,5,R128,121,15,0,81,47,46,21,15,0,0,6,1,110,64,44,23,15,10,13
2017-580,Australian Open,Hard,128,G,20170116,157,111202,,,Hyeon Chung,R,,KOR,20.66255989,105,583,105952,,,Renzo Olivo,R,,ARG,24.84052019,79,693,6-2 6-3 6-2,5,R128,105,4,1,69,39,27,21,13,1,2,6,7,80,38,24,16,12,9,16
2017-580,Australian Open,Hard,128,G,20170116,158,104122,,,Carlos Berlocq,R,183,ARG,33.95208761,90,632,105430,,,Radu Albot,R,,MDA,27.18138261,96,614,6-4 7-6(4) 5-7 7-6(8),5,R128,236,18,5,157,92,70,34,23,8,12,7,2,154,110,74,25,23,5,9
2017-580,Australian Open,Hard,128,G,20170116,159,104755,18,,Richard Gasquet,R,185,FRA,30.58179329,18,1885,106425,,,Blake Mott,U,,AUS,20.73921971,287,173,6-4 6-4 6-2,5,R128,113,2,1,82,53,38,20,14,0,1,7,3,78,49,31,15,14,3,8
2017-580,Australian Open,Hard,128,G,20170116,160,105807,30,,Pablo Carreno Busta,R,188,ESP,25.51676934,31,1370,105166,,,Peter Polansky,R,180,CAN,28.58863792,132,454,6-0 3-6 3-6 6-2 3-0 RET,5,R128,143,20,8,101,59,49,19,18,3,7,10,5,123,73,41,22,17,13,20
