tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Australian Open,105807,R,188,ESP,25.51676934,31,1370,106378,R,,GBR,22.02327173,46,989,6-2 6-4 6-2,R64,106,7,0,89,58,46,16,13,6,6,6,6,79,42,31,14,13,3,8
Australian Open,104797,R,188,UZB,30.36002738,117,498,104925,R,188,SRB,29.65639973,2,11780,7-6(8) 5-7 2-6 7-6(5) 6-4,R64,288,17,3,194,134,94,27,27,9,15,14,9,185,107,77,43,27,10,14
Australian Open,104918,R,190,GBR,29.67556468,1,12560,105023,R,198,USA,29.27857632,32,1355,6-4 6-2 6-4,R32,119,8,2,86,56,43,15,14,2,3,5,2,87,53,30,18,14,3,8
Australian Open,104999,L,190,GER,29.40451745,50,894,104291,R,185,TUN,32.99110198,56,824,6-1 4-6 6-3 6-0,R32,141,7,3,88,52,37,20,16,1,4,4,6,123,69,42,19,16,12,21
Australian Open,103819,R,185,SUI,35.44147844,17,1980,104607,R,196,CZE,31.33196441,10,3060,6-2 6-4 6-4,R32,90,8,2,70,41,39,17,14,0,0,13,3,81,51,43,9,14,1,5
Australian Open,105453,R,178,JPN,27.04996578,5,5010,105041,R,185,SVK,29.20465435,121,486,6-4 6-4 6-4,R32,131,5,3,76,46,38,20,15,1,2,12,1,106,60,46,15,15,5,9
Australian Open,104527,R,183,SUI,31.80561259,4,5155,104678,R,193,SRB,30.93223819,35,1225,3-6 6-2 6-2 7-6(7),R32,152,16,4,117,71,52,24,19,4,9,7,8,122,70,48,20,18,6,13
Australian Open,104312,R,190,ITA,32.90349076,89,635,104327,R,178,BEL,32.84599589,71,707,4-6 6-4 7-6(1) 7-6(2),R32,187,11,5,131,72,60,31,22,3,7,8,4,131,74,55,28,22,2,6
Australian Open,104542,R,188,FRA,31.75085558,12,2505,106058,R,185,USA,24.31211499,20,1810,7-6(4) 7-5 6-7(8) 6-3,R32,213,23,5,155,101,81,29,23,5,6,7,5,166,94,71,35,22,8,11
Australian Open,105554,R,175,GBR,26.65297741,51,886,106071,R,193,AUS,24.23819302,27,1420,7-5 7-6(2) 7-6(3),R32,168,9,2,134,75,55,33,18,7,10,20,1,114,82,60,13,18,2,6
Australian Open,104792,R,193,FRA,30.37645448,6,3625,104259,R,178,GER,33.25393566,33,1325,6-3 7-6(1) 6-4,R32,115,8,4,97,68,52,11,16,3,6,3,2,80,52,36,14,15,1,6
Australian Open,104745,L,185,ESP,30.62286105,9,3195,100644,R,198,GER,19.74264203,24,1655,4-6 6-3 6-7(5) 6-3 6-2,R32,245,11,4,150,113,82,23,24,5,7,19,11,172,108,77,27,24,11,16
Australian Open,105138,R,183,ESP,28.75838467,14,2350,103970,R,175,ESP,34.7926078,23,1740,7-5 6-7(6) 7-6(3) 6-4,R32,242,5,5,182,106,70,40,23,15,20,1,6,151,81,51,38,23,7,14
Australian Open,105683,R,196,CAN,26.05612594,3,5290,104468,R,183,FRA,32.05475702,25,1585,6-2 7-6(5) 3-6 6-3,R32,154,21,3,112,74,53,23,19,3,6,0,3,109,83,58,10,19,2,7
Australian Open,106233,R,185,AUT,23.37029432,8,3415,105332,R,196,FRA,27.69336071,47,960,6-1 4-6 6-4 6-4,R32,143,10,3,128,85,53,25,19,12,17,10,9,110,52,41,19,18,3,11
Australian Open,105676,R,163,BEL,26.11088296,11,2750,103333,R,208,CRO,37.88364134,21,1795,6-3 6-2 6-4,R32,87,3,3,66,39,37,19,14,0,0,25,3,78,58,42,7,13,3,7
Australian Open,105777,R,188,BUL,25.67282683,15,2135,104755,R,185,FRA,30.58179329,18,1885,6-3 6-2 6-4,R32,122,11,4,95,69,57,9,14,6,7,3,4,82,49,28,16,13,4,9
Australian Open,104797,R,188,UZB,30.36002738,117,498,105807,R,188,ESP,25.51676934,31,1370,6-4 4-6 6-4 4-6 6-2,R32,207,16,2,141,93,70,27,24,9,12,5,5,151,86,59,34,24,2,7
Australian Open,104999,L,190,GER,29.40451745,50,894,104918,R,190,GBR,29.67556468,1,12560,7-5 5-7 6-2 6-4,R16,213,7,2,137,91,60,21,21,8,13,10,6,145,95,62,18,21,9,17
Australian Open,103819,R,185,SUI,35.44147844,17,1980,105453,R,178,JPN,27.04996578,5,5010,6-7(4) 6-4 6-1 4-6 6-3,R16,203,24,6,148,100,80,23,24,7,10,5,5,164,107,73,24,24,11,18
Australian Open,104527,R,183,SUI,31.80561259,4,5155,104312,R,190,ITA,32.90349076,89,635,7-6(2) 7-6(4) 7-6(4),R16,163,17,2,117,66,53,34,18,2,4,12,3,136,84,62,26,18,7,9
Australian Open,104542,R,188,FRA,31.75085558,12,2505,105554,R,175,GBR,26.65297741,51,886,6-7(4) 6-2 6-4 6-4,R16,173,17,2,122,81,66,25,20,4,4,8,11,143,100,73,16,20,10,14
Australian Open,104745,L,185,ESP,30.62286105,9,3195,104792,R,193,FRA,30.37645448,6,3625,6-3 6-3 4-6 6-4,R16,175,2,1,101,74,53,17,19,3,6,15,10,130,76,50,24,19,11,17
Australian Open,105683,R,196,CAN,26.05612594,3,5290,105138,R,183,ESP,28.75838467,14,2350,7-6(6) 3-6 6-4 6-1,R16,171,33,9,113,73,59,19,19,7,10,9,4,127,88,56,21,19,11,16
Australian Open,105676,R,163,BEL,26.11088296,11,2750,106233,R,185,AUT,23.37029432,8,3415,5-7 7-6(4) 6-2 6-2,R16,163,15,2,125,70,51,33,20,3,6,13,5,128,77,53,23,20,9,15
Australian Open,105777,R,188,BUL,25.67282683,15,2135,104797,R,188,UZB,30.36002738,117,498,2-6 7-6(2) 6-2 6-1,R16,144,7,1,98,72,58,16,18,5,7,14,1,104,73,48,14,17,3,7
Australian Open,103819,R,185,SUI,35.44147844,17,1980,104999,L,190,GER,29.40451745,50,894,6-1 7-5 6-2,QF,92,9,1,79,54,37,17,14,1,2,5,0,97,72,38,13,13,9,15
