tourney_name,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Roland Garros,104926,R,178,ITA,27.00616016,15,2155,104676,L,190,GER,28.30116359,123,455,6-4 6-4 6-1,R128,101,7,4,81,46,36,16,13,0,2,1,4,87,56,29,15,14,7,14
Roland Garros,104755,R,185,FRA,27.93702943,13,2445,106071,R,193,AUS,21.59342916,80,646,6-2 6-1 7-5,R128,97,6,0,78,45,38,18,14,0,1,4,1,82,55,31,12,13,7,13
Roland Garros,104122,R,183,ARG,31.30732375,47,975,103720,R,180,AUS,33.24845996,46,1030,3-6 6-2 6-1 6-4,R128,188,1,1,131,104,72,8,17,11,13,3,7,112,58,38,25,17,10,16
Roland Garros,104655,R,180,URU,28.39698836,136,416,105051,R,188,AUS,26.49691992,73,700,6-1 6-2 6-3,R128,80,5,1,63,44,37,9,12,0,1,5,2,72,38,24,9,12,6,13
Roland Garros,104269,L,188,ESP,30.52703628,25,1420,103566,L,190,FRA,34.02053388,153,370,6-2 7-6(4) 7-6(3),R128,152,3,3,109,83,61,19,16,5,6,6,3,122,83,55,20,16,10,13
Roland Garros,104259,R,178,GER,30.6091718,24,1485,105137,R,183,ESP,26.13278576,84,629,7-5 6-4 6-1,R128,107,5,1,85,61,44,15,14,1,2,3,5,94,48,32,20,15,7,13
Roland Garros,104797,R,188,UZB,27.71526352,49,915,104660,R,193,UKR,28.38329911,93,600,6-3 6-4 2-6 6-3,R128,139,9,2,105,71,55,19,18,3,5,0,6,114,73,49,20,18,4,8
Roland Garros,104594,R,194,AUS,28.79671458,66,732,104460,R,196,GER,29.46201232,82,633,7-6(5) 6-4 6-7(1) 7-5,R128,181,5,0,153,87,61,34,23,6,10,18,8,157,101,68,27,23,3,9
Roland Garros,104918,R,190,GBR,27.03080082,8,4120,104979,R,185,KAZ,26.84462697,53,862,6-1 6-4 3-6 6-3,R128,155,5,3,127,65,40,33,18,5,10,2,5,104,58,33,23,17,5,13
Roland Garros,104607,R,196,CZE,28.68720055,6,4330,105166,R,180,CAN,25.94387406,135,421,6-3 6-4 6-4,R128,118,15,4,93,56,45,20,15,5,6,2,4,86,53,31,20,14,2,6
Roland Garros,104873,R,,KAZ,27.27446954,101,591,104500,R,180,IND,29.27857632,96,595,5-7 6-3 7-6(4) 6-3,R128,193,7,3,145,94,63,32,22,2,6,2,1,140,89,61,21,20,4,9
Roland Garros,105332,R,196,FRA,25.04859685,61,760,104268,L,185,COL,30.52977413,70,713,6-3 6-4 7-6(4),R128,98,9,4,98,45,37,27,16,3,6,0,1,94,54,35,18,15,3,8
Roland Garros,105138,R,,ESP,26.11362081,29,1330,103893,R,183,ITA,32.44353183,88,615,6-3 7-5 6-2,R128,139,1,0,99,72,48,20,15,6,7,2,1,90,57,40,10,14,10,15
Roland Garros,103990,R,180,ESP,32.06844627,19,1900,104868,R,190,GBR,27.29089665,168,326,4-6 6-4 6-2 6-4,R128,173,3,3,115,72,51,24,19,7,10,1,4,137,92,57,22,19,10,16
Roland Garros,104932,L,203,FRA,26.99247091,72,704,103656,R,175,ESP,33.49486653,86,625,3-1 RET,R128,20,2,0,13,9,7,3,2,0,0,1,1,11,8,5,1,2,0,1
Roland Garros,105062,R,183,KAZ,26.41478439,54,859,103917,R,190,FRA,32.34223135,40,1067,6-3 6-7(4) 6-3 6-4,R128,196,6,3,156,100,65,24,21,13,19,7,8,121,64,42,20,19,10,19
Roland Garros,104545,R,206,USA,29.08145106,11,2600,105732,R,,FRA,23.18959617,130,431,7-6(5) 7-6(4) 7-5,R128,153,23,3,110,67,56,28,18,2,2,11,3,110,54,44,35,18,0,1
Roland Garros,104022,R,183,RUS,31.91786448,16,2065,105807,R,,ESP,22.87200548,68,729,3-6 1-6 6-3 6-4 6-0,R128,179,8,5,146,91,59,23,21,8,15,5,2,121,79,53,13,20,6,14
Roland Garros,103285,R,185,CZE,35.4934976,43,1040,106032,R,,ARG,21.80698152,114,512,6-7(8) 3-6 6-4 6-3 6-2,R128,208,4,7,159,106,69,29,24,8,13,7,11,154,87,63,26,24,8,16
Roland Garros,105487,L,,ARG,24.24093087,143,398,103898,R,185,FRA,32.42984257,45,1035,6-1 6-2 1-6 3-6 18-16,R128,267,5,1,197,127,89,38,33,13,19,16,7,185,112,80,37,32,9,16
Roland Garros,105208,R,190,LAT,25.7357974,17,2050,103997,R,190,POL,32.02737851,63,748,4-6 6-4 7-5 6-1,R128,162,11,6,117,63,50,32,20,5,8,9,10,104,55,40,23,19,3,9
Roland Garros,104098,R,185,RUS,31.45242984,32,1155,103808,R,188,ITA,32.86516085,176,304,6-1 7-5 6-2,R128,105,6,3,82,46,38,24,14,4,4,4,6,83,61,43,4,13,4,9
Roland Garros,105023,R,198,USA,26.63381246,67,730,103835,R,183,ITA,32.72005476,99,592,7-6(3) 6-4 6-3,R128,116,24,3,109,71,59,17,15,10,10,1,2,106,80,53,15,16,6,9
Roland Garros,106043,R,,ARG,21.77412731,109,533,105671,R,178,POR,23.50171116,178,294,6-4 6-2 7-5,R128,144,0,3,97,67,38,16,15,4,10,6,4,112,67,29,22,15,15,25
Roland Garros,103819,R,185,SUI,32.79671458,4,5125,105041,R,185,SVK,26.55989049,87,617,6-2 6-4 6-2,R128,84,7,1,61,44,39,13,13,0,0,3,5,91,57,32,18,13,6,11
Roland Garros,105683,R,196,CAN,23.41136208,9,2975,106401,R,,AUS,19.08008214,160,350,6-3 7-6(1) 6-3,R128,120,27,8,107,63,57,17,16,6,8,4,6,93,52,34,22,14,6,10
Roland Garros,106210,L,,CZE,20.87611225,81,641,104586,R,196,CZE,28.83778234,52,885,6-2 7-6(6) 7-5,R128,126,4,3,103,69,54,18,16,0,1,6,3,96,57,39,23,16,2,6
Roland Garros,105292,R,,COL,25.29500342,77,675,103188,R,173,USA,36.06844627,98,593,6-2 6-4 6-7(6) 6-1,R128,157,10,2,117,78,55,24,19,1,3,0,2,114,74,45,18,18,4,11
Roland Garros,104468,R,183,FRA,29.40999316,30,1225,105302,U,,CRO,25.2183436,177,303,6-1 6-1 6-3,R128,94,6,2,67,36,31,16,11,2,2,5,5,78,45,28,9,12,2,9
Roland Garros,105238,R,180,UKR,25.54688569,21,1645,105077,L,188,ESP,26.35455168,115,511,7-6(4) 6-4 6-1,R128,130,10,2,97,57,48,20,15,6,7,3,3,107,61,37,22,14,5,9
Roland Garros,104719,R,190,ESP,28.12046543,39,1080,104471,R,183,CRO,29.39356605,36,1100,2-2 RET,R128,11,1,0,11,10,9,1,2,0,0,0,2,14,5,4,5,2,0,0
Roland Garros,104898,R,190,NED,27.137577,50,910,103786,R,178,RUS,32.98015058,92,610,7-5 6-4 6-2,R128,120,10,1,97,61,46,22,15,4,4,3,4,93,61,36,17,15,2,6
Roland Garros,105373,L,190,SVK,24.8733744,59,795,105453,R,178,JPN,24.40520192,10,2815,7-6(4) 6-1 6-2,R128,117,3,3,95,50,37,26,14,3,5,1,10,84,42,28,16,13,4,10
Roland Garros,104542,R,188,FRA,29.10609172,14,2315,104273,R,188,FRA,30.49144422,51,895,7-6(4) 7-5 6-2,R128,141,9,3,91,59,49,18,16,0,2,7,1,118,72,46,22,16,10,15
